Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
160.94    0.756557    0.170565
226.64    0.736599    0.178576
290.41    0.690152    0.182777
337.36    0.476933    0.184454


Fig.3                                                                                   
Efficiency Uncorrected Kurtosis*Variance                                            
__________________________________________________________________________

Au+Au 200 GeV

Npart    KV    Stat.Err    Sys.Err
14.96    2.22059    0.0246518    0.205031
27.43    2.28657    0.0360066    0.0327552
47.21    2.11267    0.0580882    0.0541659
76.93    2.09313    0.0918186    0.258523
116.73    1.98267    0.137666    0.332024
169.02    1.76641    0.196871    0.293181
237.26    2.18002    0.272789    0.312698
302.22    1.19298    0.469656    0.411882
349.67    1.5731    0.539496    0.757654
                                        
Au+Au 62.4 GeV

Npart    KV    Stat.Err    Sys.Err
13.78    2.39995    0.0336724    0.252465
26.56    2.30255    0.0460924    0.123999
46.26    2.25666    0.0697756    0.179469
75.08    2.19022    0.107544    0.0789906
113.49    2.45389    0.16374    0.172417
164.59    1.99138    0.235199    0.194033
232.08    2.46633    0.333557    0.349248
296.71    2.62717    0.598921    1.21015
344.4    2.26568    0.709007    1.09036
                                        
Au+Au 39 GeV

Npart    KV    Stat.Err    Sys.Err
14.07    2.38672    0.0163762    0.044436
26.23    2.35795    0.0240177    0.0729
45.25    2.24624    0.0382958    0.0967158
72.86    2.15823    0.058535    0.189089
110.54    2.07694    0.0888903    0.258177
160.87    2.01098    0.129298    0.179084
227.72    1.67673    0.181467    0.486659
291.95    1.80085    0.330917    0.24389
341.76    1.43366    0.382559    0.315853
                                        
Au+Au 27 GeV

Npart    KV    Stat.Err    Sys.Err
13.43    2.38594    0.0279129    0.110093
26.06    2.31289    0.0438099    0.104598
45.43    2.21897    0.069447    0.0847211
72.93    2.26382    0.104868    0.0747621
110.87    2.05728    0.156277    0.257433
161.17    1.85202    0.229168    0.217272
227.42    2.36712    0.328206    0.258432
291.78    1.69764    0.587814    0.323067
340.96    1.78376    0.704552    0.974237
                                        
Au+Au 19.6 GeV

Npart    KV    Stat.Err    Sys.Err
17.96    2.27714    0.0338953    0.0554387
31.43    2.36479    0.0546739    0.0738561
51.21    2.25916    0.080956    0.0813646
79.93    2.15884    0.128382    0.0890504
117.86    2.26117    0.194038    0.0428396
167.02    2.18355    0.271904    0.173203
232.41    2.03538    0.393292    0.191598
293.93    1.51595    0.716182    0.723048
340.67    1.41633    0.841698    0.249189
                                        
Au+Au 11.5 GeV

Npart    KV    Stat.Err    Sys.Err
14.044    2.3906    0.0761686    0.28864
25.59    2.39827    0.115648    0.176472
44.32    2.26529    0.17015    0.135457
71.92    2.58035    0.284608    0.402337
109.3    2.32123    0.41863    0.164593
158.38    2.17819    0.59358    0.511195
224.29    2.75863    0.824503    0.498814
288.74    1.72903    1.50301    0.840289
338.42    1.64404    1.75746    0.646022
                                        
Au+Au 7.7 GeV

Npart    KV    Stat.Err    Sys.Err
13.85    2.70535    0.0995453    0.132862
25.62    2.53992    0.133747    0.113647
44.56    3.11408    0.213594    0.127672
71.36    2.92578    0.325344    0.11668
109.02    2.08529    0.417332    0.172508
160.94    2.25146    0.652513    0.399488
226.64    0.322526    0.87953    0.0750354
290.41    3.45047    1.65487    1.38682
337.36    -1.79783    1.85778    1.72955

 
Efficiency Corrected Kurtosis*Variance                                                                                 
                                        

Au+Au 200 GeV

Npart    KV    Stat.Err    Sys.Err
14.96    2.33482    0.0692845    0.244065
27.43    2.56905    0.118398    0.192825
47.21    2.08337    0.195592    0.0697124
76.93    2.17589    0.336184    0.270448
116.73    1.95373    0.524542    0.379154
169.02    1.21106    0.781748    0.269205
237.26    3.45305    1.15818    1.38354
302.22    -0.632392    2.06689    1.14212
349.67    2.57939    2.42202    1.84051
                                        
Au+Au 62.4 GeV

Npart    KV    Stat.Err    Sys.Err
13.78    2.71035    0.0964119    0.316314
26.56    2.43234    0.146694    0.133245
46.26    2.31489    0.232051    0.220831
75.08    2.26275    0.370216    0.193882
113.49    3.37944    0.620698    0.367408
164.59    1.7657    0.953207    1.05851
232.08    4.0608    1.41488    1.57241
296.71    4.93345    2.62264    3.22954
344.4    4.57877    3.34581    2.46885
                                        
Au+Au 39 GeV

Npart    KV    Stat.Err    Sys.Err
14.07    2.64718    0.0537805    0.142572
26.23    2.6167    0.0915063    0.0850567
45.25    2.44986    0.16288    0.166689
72.86    2.29465    0.256233    0.26875
110.54    2.21445    0.428322    0.330947
160.87    2.1951    0.630545    1.31307
227.72    1.32537    0.905467    0.613298
